,index,importance
0,PAIN,0.21779203958337517
1,species,0.16345799712007092
2,LEMA,0.07938819567227186
3,precip,0.07753188790392015
4,CHFU,0.05669600536668455
5,POMA,0.04306554578698947
6,HOMA,0.02829801723727555
7,PUPA,0.02684818649473127
8,cn,0.02550092116550313
9,co3,0.024228807026512533
10,p,0.01993379371201921
11,salinity,0.01831135441840224
12,mo,0.018185034648640814
13,PLCO,0.01698978253883147
14,k,0.01671263679337198
15,SASO,0.015509895697299696
16,ca,0.014601625591489259
17,c,0.01346143795932763
18,random_noise,0.013190427567714857
19,na,0.011711299697117199
20,ph,0.011593228056110306
21,mg,0.011444798965431591
22,cl,0.0111744949653201
23,MESU,0.009756964876038682
24,CETE,0.009092229415462099
25,RAPE,0.009048493919029942
26,BEMA,0.006824635619873928
27,SOAS,0.0047210625748304955
28,POMO,0.0047183528346124845
29,CHMI,0.004687875301579958
30,n,0.0038162461639113347
31,MEEL,0.002902086366133229
32,SPRU,0.0027354852771955948
33,LYTR,0.0024584438799468587
34,SCLA,0.002418912841519378
35,SUSP,0.00037391582458660657
36,COSQ,0.00036238877071124016
37,MEPO,0.0002995661580754798
38,FRPU,0.00015592620808168998
